GBR_ID,GBR_NAME,X_COORD,Y_COORD
10331,Harrington Shoal,142.71060181,-10.79659367
10334,Four Fathom Patches,142.68708801,-10.81985474
10335,Harrington Reef,142.72311401,-10.82125187
10336,Wyborn Reef,142.76223755,-10.82104492
10338,Womer Reef,142.98362732,-10.79982185
10339,Brewis Reef,142.69335938,-10.88696003
10340,Turtle Island Reef,142.69628906,-10.88979912
10341,Shortland Reef,142.77270508,-10.90133476
10342,Trochus Reef,142.63183594,-10.92067909
10314,Ida Reef,142.55873108,-10.71000767
10316,Tree Reef,142.5970459,-10.70428848
10317,Brush Islet Reef,142.59786987,-10.70888901
10318A,Albany Island Reef (No 1),142.5929718,-10.71530914
10318B,Albany Island Reef (No 2),142.61784363,-10.72830391
10318C,Albany Island Reef (No 3),142.62330627,-10.7466259
10318D,Albany Island Reef (No 4),142.60494995,-10.73894119
10320,Mai Reef,142.62464905,-10.72395611
10321,Albany Rock Reef,142.62982178,-10.71882725
10322,North Brother Reef,142.673172,-10.70076275
10323,Middle Brother Reef,142.68544006,-10.71178818
10324,South Brother Reef,142.6918335,-10.71665955
10325,North Ledge,142.73832703,-10.68028641
10326,Meggi-Damun Reef,142.78610229,-10.68252754
10327,South Ledge,142.73246765,-10.70542622
10328,Ulfa Reef,142.6144104,-10.75758648
10329,Ariel Bank,142.62519836,-10.77074623
10343A,Turtle Head Island Reef (No 1),142.70593262,-10.93688488
10343B,Turtle Head Island Reef (No 2),142.7061615,-10.94753647
10344,Tern Reef,142.76638794,-10.99002266
10365,Linda Reef,143.17781067,-10.90662861
10391,Triangle Reef,143.98234558,-10.75539112
11001,Arnold Reef,142.99273682,-11.00683498
11002,Thomson Islet Reef,142.75546265,-11.02495193
11004,Gilmore Bank,142.83700562,-11.15866852
11009,Bushy Island Reef,142.87251282,-11.2572403
11010,Cairncross Islets Reef,142.92893982,-11.24986839
11013,Halfway Islet Reef,142.96537781,-11.3848238
11014,Pearn Reef,142.93530273,-11.43494606
11016,McSweeney Reef,143.24269104,-11.02305126
11026,Sinclair Reef,143.02845764,-11.11662197
11029,Monsoon Reef,143.25291443,-11.12877846
11048B,Turning Point Patches (No 2),143.54580688,-11.36818123
11052,Cholmondeley Reef,143.07014465,-11.38962555
11053,Jardine Reef,143.03533936,-11.38516045
11055,Wallace Islet Reef,143.04203796,-11.45389843
11035,Milman-Aplin Reef,143.03083801,-11.18211842
11036,Parsons Reef,143.1975708,-11.18444061
11037,Collette Reef,143.31806946,-11.21540451
11038,Douglas Islet Reef,143.00071716,-11.2432394
11043,Onslow Reef,143.28129578,-11.29741383
11044,Wilds Shoal,143.36935425,-11.27690411
11048A,Turning Point Patches (No 1),143.40556335,-11.32917881
11057,Cochin Reef,143.43885803,-11.4305315
11058,Parkinson Reef,143.12471008,-11.46813583
11059,Monkman Reef,143.15672302,-11.4719553
11061,Little Boydong Reef,143.04064941,-11.48878002
11062,Boydong Island Reef,143.02876282,-11.4979887
11070A,Maclennan Reef (No 1),143.79820251,-11.31483746
11070B,Maclennan Reef (No 2),143.67514038,-11.25258923
11070C,Maclennan Reef (No 3),143.81921387,-11.25566387
11103,Indefatigable Reef,143.6365509,-11.47353363
11098,Risk Reef,143.76768494,-11.42281246
11100,Shadwell Reef,143.7689209,-11.45784378
11125,Stark Reef,144.06565857,-11.26131248
